TEAM,YEAR,PPG,pctOfCap
Pittsburgh Steelers,2023,15.8,0.3461
Arizona Cardinals,2022,20,0.2076
Atlanta Falcons,2022,21.5,0.2337
Baltimore Ravens,2022,20.4,0.3932
Buffalo Bills,2022,27.7,0.361
Carolina Panthers,2022,20.4,0.3286
Chicago Bears,2022,19.2,0.2185
Cincinnati Bengals,2022,25.7,0.3755
Cleveland Browns,2022,21.2,0.3395
Dallas Cowboys,2022,26.8,0.4678
Denver Broncos,2022,16.9,0.2291
Detroit Lions,2022,26.6,0.4089
Green Bay Packers,2022,21.8,0.3975
Houston Texans,2022,17,0.267
Indianapolis Colts,2022,17,0.3805
Jacksonville Jaguars,2022,23.9,0.3279
Kansas City Chiefs,2022,29.2,0.477
Las Vegas Raiders,2022,23.4,0.3692
Los Angeles Chargers,2022,18.1,0.4076
Los Angeles Rams,2022,23.2,0.1343
Miami Dolphins,2022,23.8,0.3632
Minnesota Vikings,2022,24.9,0.4124
New England Patriots,2022,21.4,0.3792
New Orleans Saints,2022,19.4,0.2621
New York Giants,2022,21.2,0.3501
New York Jets,2022,17.4,0.3285
Philadelphia Eagles,2022,29.1,0.2929
Pittsburgh Steelers,2022,18.1,0.2532
San Francisco 49ers,2022,25.9,0.327
Seattle Seahawks,2022,23.9,0.2634
Tampa Bay Buccaneers,2022,18.2,0.4066
Tennessee Titans,2022,17.5,0.17
Washington Commanders,2022,18.9,0.4489
Arizona Cardinals,2021,25.6,0.3547
Atlanta Falcons,2021,18.4,0.411
Baltimore Ravens,2021,22.8,0.2448
Buffalo Bills,2021,29.8,0.4017
Carolina Panthers,2021,17.9,0.2337
Chicago Bears,2021,18.3,0.3246
Cincinnati Bengals,2021,26.3,0.354
Cleveland Browns,2021,20.5,0.3898
Dallas Cowboys,2021,30.4,0.4588
Denver Broncos,2021,19.7,0.2258
Detroit Lions,2021,19.1,0.2458
Green Bay Packers,2021,25.6,0.4739
Houston Texans,2021,16.5,0.2902
Indianapolis Colts,2021,26.5,0.4953
Jacksonville Jaguars,2021,14.9,0.3062
Kansas City Chiefs,2021,29.4,0.3183
Las Vegas Raiders,2021,27.9,0.3778
Los Angeles Chargers,2021,27,0.4022
Los Angeles Rams,2021,21.8,0.3239
Miami Dolphins,2021,20.1,0.3254
Minnesota Vikings,2021,25,0.3605
New England Patriots,2021,26.6,0.3403
New Orleans Saints,2021,21.4,0.2493
New York Giants,2021,15.2,0.332
New York Jets,2021,18.2,0.2237
Philadelphia Eagles,2021,25.5,0.2204
Pittsburgh Steelers,2021,20.2,0.3117
San Francisco 49ers,2021,24,0.396
Seattle Seahawks,2021,23.2,0.4286
Tampa Bay Buccaneers,2021,29.9,0.4129
Tennessee Titans,2021,24.2,0.4275
Washington Commanders,2021,19.7,0.2472
Arizona Cardinals,2020,25.6,0.3861
Atlanta Falcons,2020,24.8,0.4737
Baltimore Ravens,2020,27.3,0.1706
Buffalo Bills,2020,29.9,0.4248
Carolina Panthers,2020,21.9,0.3756
Chicago Bears,2020,22.4,0.3356
Cincinnati Bengals,2020,19.4,0.3077
Cleveland Browns,2020,26.3,0.3462
Dallas Cowboys,2020,24.7,0.2293
Denver Broncos,2020,20.2,0.2245
Detroit Lions,2020,23.6,0.3624
Green Bay Packers,2020,31.5,0.3988
Houston Texans,2020,24,0.3658
Indianapolis Colts,2020,27.9,0.4629
Jacksonville Jaguars,2020,19.1,0.2159
Kansas City Chiefs,2020,28.5,0.3754
Las Vegas Raiders,2020,24,0.4732
Los Angeles Chargers,2020,23.3,0.3727
Los Angeles Rams,2020,27.1,0.4136
Miami Dolphins,2020,25.3,0.2822
Minnesota Vikings,2020,26.9,0.3013
New England Patriots,2020,20.4,0.2493
New Orleans Saints,2020,29.1,0.447
New York Giants,2020,17.5,0.3502
New York Jets,2020,15.2,0.2965
Philadelphia Eagles,2020,20.9,0.3727
Pittsburgh Steelers,2020,26.6,0.377
San Francisco 49ers,2020,23.5,0.2333
Seattle Seahawks,2020,28.2,0.4661
Tampa Bay Buccaneers,2020,30.8,0.482
Tennessee Titans,2020,29.6,0.3355
Washington Commanders,2020,21.1,0.3343
Arizona Cardinals,2019,22.6,0.3861
Atlanta Falcons,2019,23.8,0.4737
Baltimore Ravens,2019,31.9,0.1706
Buffalo Bills,2019,19.6,0.4248
Carolina Panthers,2019,21.3,0.3756
Chicago Bears,2019,17.5,0.3356
Cincinnati Bengals,2019,17.4,0.3077
Cleveland Browns,2019,20.9,0.3462
Dallas Cowboys,2019,27.1,0.2293
Denver Broncos,2019,17.6,0.2245
Detroit Lions,2019,21.3,0.3624
Green Bay Packers,2019,23.6,0.3988
Houston Texans,2019,23.9,0.3658
Indianapolis Colts,2019,22.6,0.4629
Jacksonville Jaguars,2019,18.8,0.2159
Kansas City Chiefs,2019,29.9,0.3754
Las Vegas Raiders,2019,21.1,0.4732
Los Angeles Chargers,2019,24.6,0.3727
Los Angeles Rams,2019,19.6,0.4136
Miami Dolphins,2019,19.1,0.2822
Minnesota Vikings,2019,24.6,0.3013
New England Patriots,2019,25.5,0.2493
New Orleans Saints,2019,28.1,0.447
New York Giants,2019,21.3,0.3502
New York Jets,2019,17.3,0.2965
Philadelphia Eagles,2019,23.2,0.3727
Pittsburgh Steelers,2019,18.1,0.377
San Francisco 49ers,2019,29.6,0.2333
Seattle Seahawks,2019,24.7,0.4661
Tampa Bay Buccaneers,2019,28.6,0.482
Tennessee Titans,2019,24.9,0.3355
Washington Commanders,2019,16.6,0.3343
Arizona Cardinals,2018,14.1,0.3861
Atlanta Falcons,2018,25.9,0.4737
Baltimore Ravens,2018,23.9,0.1706
Buffalo Bills,2018,16.8,0.4248
Carolina Panthers,2018,23.5,0.3756
Chicago Bears,2018,25.6,0.3356
Cincinnati Bengals,2018,23,0.3077
Cleveland Browns,2018,22.4,0.3462
Dallas Cowboys,2018,21.4,0.2293
Denver Broncos,2018,20.6,0.2245
Detroit Lions,2018,20.3,0.3624
Green Bay Packers,2018,23.5,0.3988
Houston Texans,2018,24.1,0.3658
Indianapolis Colts,2018,25.9,0.4629
Jacksonville Jaguars,2018,15.3,0.2159
Kansas City Chiefs,2018,34.8,0.3754
Las Vegas Raiders,2018,26.6,0.4732
Los Angeles Chargers,2018,30.8,0.3727
Los Angeles Rams,2018,18.1,0.4136
Miami Dolphins,2018,19.9,0.2822
Minnesota Vikings,2018,22.5,0.3013
New England Patriots,2018,27.7,0.2493
New Orleans Saints,2018,30.4,0.447
New York Giants,2018,23.1,0.3502
New York Jets,2018,20.8,0.2965
Philadelphia Eagles,2018,22.1,0.3727
Pittsburgh Steelers,2018,26.8,0.377
San Francisco 49ers,2018,21.4,0.2333
Seattle Seahawks,2018,26.5,0.4661
Tampa Bay Buccaneers,2018,24.8,0.482
Tennessee Titans,2018,19.4,0.3355
Washington Commanders,2018,17.6,0.3343
